Nodes,NodeOutDeg,RewireProb,highest_deg_ID,highest_deg_degree,highest_hubscore_ID,highest_hubscore_degree,highest_authscore_ID,highest_authscore_degree,CommunityCNM_time_s,CommunityCNM_modularity,CommunityGirvanNewman_time_s,CommunityGirvanNewman_modularity
50,7,0.02,8,16,8,0.16583521089040007,8,0.16583480433210634,0.0,0.33721808523739555,0.34000587463378906,0.3512820091789066
1050,8,0.97,349,28,349,0.05661941687859656,349,0.05661941687859636,0.21801209449768066,0.2158350599242593,,
2050,17,0.98,1108,49,1108,0.031827047781197305,1108,0.031827047781197305,1.375136375427246,0.13907079780508225,,
3050,7,0.23,343,21,1746,0.030866251579730962,1746,0.030864517647682076,1.1489038467407227,0.5849373382266596,,
4050,20,0.23,2512,52,3089,0.02086525462277331,3089,0.02086525469534677,6.032225847244263,0.49314912403874356,,
5050,14,0.78,3625,43,3625,0.021380550896917327,3625,0.021380550896917306,15.065178394317627,0.16619472894734738,,
6050,10,0.56,5235,34,4466,0.02154243897528365,4466,0.021542438975286713,18.99481177330017,0.3008901165238133,,
7050,17,0.52,1484,50,1484,0.01793961611900762,1484,0.017939616119012576,25.723999977111816,0.33351733631336483,,
8050,12,0.58,3642,38,3642,0.01771247817583342,3642,0.01771247817583362,35.49899482727051,0.27836096023459045,,
9050,19,0.24,3814,50,3814,0.013766284384982959,3814,0.01376628744094693,43.42399740219116,0.4883930825946482,,
10050,16,0.9,5160,48,7501,0.015313537209811158,7501,0.015313537209811165,60.91300010681152,0.14285902582886006,,
11050,9,0.18,10465,26,10465,0.01567285710759392,10465,0.015672331106131566,32.56800103187561,0.5907788138239367,,
12050,17,0.23,10768,44,11682,0.012506724748499046,11682,0.01250670686539431,76.2810001373291,0.5254501093528601,,
13050,17,0.69,5103,48,6521,0.012598093034929274,6521,0.0125980930349293,145.00799441337585,0.1910160205189315,,
14050,8,0.05,6867,20,12163,0.015266909634314617,12163,0.01520613359486858,10.879997491836548,0.6331733219150727,,
15050,7,0.13,2763,20,9733,0.01467666067231392,9733,0.014671718455631099,41.994999408721924,0.6478143142573883,,
16050,9,0.99,6265,32,6265,0.015014562832773063,6265,0.015014562832773113,108.9670033454895,0.19037365561800665,,
17050,14,0.45,8362,41,9831,0.011205149093710185,9831,0.011205149093538404,230.93100118637085,0.39699091888668075,,
18050,9,0.32,13819,27,14927,0.0116513500621076,14927,0.011651347459116944,160.1759934425354,0.5078031912108677,,
19050,15,0.71,4753,49,4753,0.011920943057213688,4753,0.011920943057213654,327.9939994812012,0.18537500490477643,,
20050,20,0.27,5254,52,11599,0.009457868875706122,11599,0.009457867162753554,380.66900086402893,0.490629195480793,,
21050,5,0.68,3071,20,11031,0.015789895793379027,11031,0.01578989578616139,362.4910032749176,0.3162106568571945,,
22050,6,0.06,7942,16,1183,0.012859345808711157,1183,0.012816084954549625,26.315000772476196,0.6989543620760422,,
23050,5,0.91,5714,22,1392,0.015695893689184406,1392,0.015695893687284145,81.58999991416931,0.2649036675299632,,
24050,16,0.15,2513,42,21356,0.008904942789617041,21356,0.008904715171534747,327.93899393081665,0.5539032711518321,,
25050,5,0.63,10800,20,10800,0.014255610068894146,10800,0.014255610066391259,494.6550040245056,0.33699515849523315,,
26050,15,0.19,12133,39,15577,0.008783993153454357,15577,0.008783895306932108,451.6859941482544,0.5324943991570698,,
27050,16,0.86,21911,53,21911,0.01007450714136697,21911,0.010074507141366956,,,,
